Participant ID,Trial no,Target Color,Dist1,Dist2,Response,Accuracy

Palak,1,"(-0.21259842519685046, 0.0234375, -1.0)","(-0.21259842519685046, 0.1796875, -1.0)","(-0.21259842519685046, 0.0234375, -1.0)",right,1

Palak,2,"(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, -0.13385826771653542)",left,1

Palak,3,"(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, 0.3359375, -1.0)",left,1

Palak,4,"(0.7265625, 0.1015625, -1.0)","(0.7265625, 0.1015625, -1.0)","(0.7265625, 0.3359375, -1.0)",left,1

Palak,5,"(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, 0.3359375)",left,1

Palak,6,"(0.7265625, 0.3359375, -1.0)","(0.7265625, 0.3359375, -1.0)","(0.7265625, 0.1796875, -1.0)",left,1

Palak,7,"(-1.0, -0.6062992125984252, 0.0234375)","(-1.0, -0.6062992125984252, 0.0234375)","(-1.0, -0.6062992125984252, -0.055118110236220486)",right,0

Palak,8,"(0.7265625, 0.1796875, -1.0)","(0.7265625, 0.1796875, -1.0)","(0.7265625, 0.3359375, -1.0)",left,1

Palak,9,"(0.7265625, 0.1796875, -1.0)","(0.7265625, 0.0234375, -1.0)","(0.7265625, 0.1796875, -1.0)",left,0

Palak,10,"(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, 0.1796875)","(0.1796875, -0.21259842519685046, 0.1015625)",right,1

Palak,11,"(0.7265625, 0.2578125, -1.0)","(0.7265625, 0.2578125, -1.0)","(0.7265625, -0.055118110236220486, -1.0)",left,1

Palak,12,"(-0.21259842519685046, 0.3359375, -1.0)","(-0.21259842519685046, 0.3359375, -1.0)","(-0.21259842519685046, 0.2578125, -1.0)",right,0

Palak,13,"(0.1796875, -0.21259842519685046, 0.3359375)","(0.1796875, -0.21259842519685046, 0.3359375)","(0.1796875, -0.21259842519685046, -0.055118110236220486)",left,1

Palak,14,"(0.0234375, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)",right,1

Palak,15,"(-0.21259842519685046, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)","(-0.21259842519685046, -1.0, -0.7637795275590551)",right,1

Palak,16,"(-0.21259842519685046, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)","(-0.21259842519685046, -1.0, -0.7637795275590551)",right,1

Palak,17,"(0.1015625, -1.0, -0.7637795275590551)","(0.1015625, -1.0, -0.7637795275590551)","(0.2578125, -1.0, -0.7637795275590551)",left,1

Palak,18,"(0.2578125, -1.0, -0.7637795275590551)","(-0.13385826771653542, -1.0, -0.7637795275590551)","(0.2578125, -1.0, -0.7637795275590551)",right,1

Palak,19,"(-1.0, -0.6062992125984252, 0.2578125)","(-1.0, -0.6062992125984252, 0.2578125)","(-1.0, -0.6062992125984252, -0.21259842519685046)",left,1

Palak,20,"(0.1796875, -0.21259842519685046, 0.0234375)","(0.1796875, -0.21259842519685046, 0.0234375)","(0.1796875, -0.21259842519685046, 0.3359375)",left,1

Palak,21,"(0.7265625, 0.1796875, -1.0)","(0.7265625, 0.1015625, -1.0)","(0.7265625, 0.1796875, -1.0)",left,0

Palak,22,"(-1.0, -0.6062992125984252, 0.0234375)","(-1.0, -0.6062992125984252, 0.2578125)","(-1.0, -0.6062992125984252, 0.0234375)",right,1

Palak,23,"(0.7265625, 0.1015625, -1.0)","(0.7265625, 0.0234375, -1.0)","(0.7265625, 0.1015625, -1.0)",left,0

