Participant ID,Trial no,Hue Color,Verbal Labels

4,1,"(-0.21259842519685046, 0.0234375, -1.0)",lime green

4,2,"(0.1796875, -0.21259842519685046, 0.3359375)",lavender

4,3,"(0.7265625, 0.3359375, -1.0)",yellow

4,4,"(0.1796875, -0.21259842519685046, -0.13385826771653542)",pink

4,5,"(0.7265625, -0.055118110236220486, -1.0)",orange

4,6,"(0.1796875, -0.21259842519685046, 0.1796875)",lilac

4,7,"(-0.055118110236220486, -1.0, -0.7637795275590551)",red

4,8,"(-1.0, -0.6062992125984252, 0.0234375)",blue

4,9,"(-0.21259842519685046, 0.2578125, -1.0)",green

4,10,"(-1.0, -0.6062992125984252, 0.1015625)",blue

4,11,"(0.1796875, -1.0, -0.7637795275590551)",red

4,12,"(-0.21259842519685046, 0.1015625, -1.0)",green

4,13,"(-0.21259842519685046, -1.0, -0.7637795275590551)",maroon

4,14,"(0.3359375, -1.0, -0.7637795275590551)",red

4,15,"(0.1796875, -0.21259842519685046, -0.055118110236220486)",pink

4,16,"(-0.21259842519685046, -0.21259842519685046, -1.0)",green

4,17,"(0.2578125, -1.0, -0.7637795275590551)",red

4,18,"(0.7265625, -0.21259842519685046, -1.0)",orange

4,19,"(0.1796875, -0.21259842519685046, -0.21259842519685046)",pink

4,20,"(0.7265625, 0.2578125, -1.0)",yellow

4,21,"(0.7265625, 0.1796875, -1.0)",yellow

4,22,"(0.1796875, -0.21259842519685046, 0.0234375)",lilac

4,23,"(-1.0, -0.6062992125984252, -0.13385826771653542)",blue

4,24,"(-1.0, -0.6062992125984252, -0.055118110236220486)",blue

4,25,"(0.0234375, -1.0, -0.7637795275590551)",red

4,26,"(-1.0, -0.6062992125984252, 0.3359375)",blue

4,27,"(0.7265625, -0.13385826771653542, -1.0)",orange

4,28,"(-0.13385826771653542, -1.0, -0.7637795275590551)",maroon

4,29,"(-0.21259842519685046, -0.055118110236220486, -1.0)",green

4,30,"(0.7265625, 0.0234375, -1.0)",orange

4,31,"(-1.0, -0.6062992125984252, 0.1796875)",blue

4,32,"(-0.21259842519685046, -0.13385826771653542, -1.0)",green

4,33,"(0.1796875, -0.21259842519685046, 0.2578125)",lilac

4,34,"(0.7265625, 0.1015625, -1.0)",orange

4,35,"(0.1015625, -1.0, -0.7637795275590551)",red

4,36,"(-1.0, -0.6062992125984252, 0.2578125)",blue

4,37,"(0.1796875, -0.21259842519685046, 0.1015625)",lilac

4,38,"(-0.21259842519685046, 0.3359375, -1.0)",green

4,39,"(-0.21259842519685046, 0.1796875, -1.0)",green

4,40,"(-1.0, -0.6062992125984252, -0.21259842519685046)",blue

