Participant ID,Trial no,Hue Color,Verbal Labels
Palak,1,"(0.1796875, -0.21259842519685046, 0.0234375)","Pink,gulabi"
Palak,2,"(0.7265625, 0.1015625, -1.0)","Orange,narangi"
Palak,3,"(0.1796875, -0.21259842519685046, 0.2578125)",Purple
Palak,4,"(0.7265625, -0.055118110236220486, -1.0)","Orange,narangi"
Palak,5,"(-1.0, -0.6062992125984252, -0.055118110236220486)","Blue,neela"
Palak,6,"(0.7265625, 0.1796875, -1.0)",mustard
Palak,7,"(-0.055118110236220486, -1.0, -0.7637795275590551)","maroon,gerua"
Palak,8,"(0.1796875, -0.21259842519685046, -0.13385826771653542)","pink,gulabi"
Palak,9,"(-1.0, -0.6062992125984252, 0.1796875)","blue,neela"
Palak,10,"(-0.13385826771653542, -1.0, -0.7637795275590551)","maroon,gerua"
Palak,11,"(-0.21259842519685046, -1.0, -0.7637795275590551)","maroon,gerua"
Palak,12,"(-0.21259842519685046, 0.1015625, -1.0)","gren,hara"
Palak,13,"(-1.0, -0.6062992125984252, -0.21259842519685046)","blue,neela"
Palak,14,"(-0.21259842519685046, 0.1796875, -1.0)","green,hara"
Palak,15,"(0.7265625, -0.21259842519685046, -1.0)","saffron,bhagwa"
Palak,16,"(0.1796875, -0.21259842519685046, -0.055118110236220486)","pink,gulabi"
Palak,17,"(-0.21259842519685046, 0.2578125, -1.0)","green,hara"
Palak,18,"(-0.21259842519685046, 0.0234375, -1.0)","green,hara"
Palak,19,"(-1.0, -0.6062992125984252, 0.1015625)","blue,neela"
Palak,20,"(-0.21259842519685046, -0.13385826771653542, -1.0)","green,hara"
Palak,21,"(0.0234375, -1.0, -0.7637795275590551)","maroon,gerua"
Palak,22,"(0.1796875, -0.21259842519685046, 0.1015625)",purple
Palak,23,"(0.2578125, -1.0, -0.7637795275590551)","red,lal"
Palak,24,"(-1.0, -0.6062992125984252, 0.3359375)","blue,neela"
Palak,25,"(0.7265625, 0.3359375, -1.0)","yellow,peela"
Palak,26,"(-0.21259842519685046, -0.21259842519685046, -1.0)","green,hara"
Palak,27,"(0.1796875, -0.21259842519685046, 0.3359375)",purple
Palak,28,"(0.1015625, -1.0, -0.7637795275590551)","maroon,gerua"
Palak,29,"(-0.21259842519685046, -0.055118110236220486, -1.0)","green,hara"
Palak,30,"(0.7265625, -0.13385826771653542, -1.0)","orange,narangi"
Palak,31,"(-0.21259842519685046, 0.3359375, -1.0)","green,hara"
Palak,32,"(0.1796875, -0.21259842519685046, -0.21259842519685046)",pink
Palak,33,"(-1.0, -0.6062992125984252, 0.2578125)","blue,neela"
Palak,34,"(0.7265625, 0.0234375, -1.0)","saffron,bhagwa"
Palak,35,"(-1.0, -0.6062992125984252, 0.0234375)","blue,neela"
Palak,36,"(0.1796875, -0.21259842519685046, 0.1796875)","pink,gulabi"
Palak,37,"(0.3359375, -1.0, -0.7637795275590551)","red,laal"
Palak,38,"(0.1796875, -1.0, -0.7637795275590551)","red,laal"
Palak,39,"(0.7265625, 0.2578125, -1.0)","yellow,peela"
Palak,40,"(-1.0, -0.6062992125984252, -0.13385826771653542)","blue,neela"
